,ts_code,end_date,symbol,mkv,amount,stk_mkv_ratio
222,510300.SH,20181231,300017.SZ,39377398.86,5029042.0,0.12
223,510300.SH,20181231,002572.SZ,39279788.5,2345062.0,0.12
224,510300.SH,20181231,600118.SH,39089144.28,2256879.0,0.12
225,510300.SH,20181231,300296.SZ,38775287.0,5042300.0,0.12
226,510300.SH,20181231,601333.SH,38310999.44,12123734.0,0.12
227,510300.SH,20181231,601117.SH,38244672.0,7135200.0,0.12
228,510300.SH,20181231,600760.SH,37912822.0,1368200.0,0.11
229,510300.SH,20181231,000961.SZ,37181077.23,6627643.0,0.11
230,510300.SH,20181231,002624.SZ,36636675.0,1315500.0,0.11
231,510300.SH,20181231,600549.SH,36585234.32,3028579.0,0.11
232,510300.SH,20181231,603858.SH,36457046.4,1442130.0,0.11
233,510300.SH,20181231,002085.SZ,36426550.0,4700200.0,0.11
234,510300.SH,20181231,600977.SH,36117030.48,2522139.0,0.11
235,510300.SH,20181231,600566.SH,35675920.0,1064000.0,0.11
236,510300.SH,20181231,600369.SH,35086971.24,10082463.0,0.11
237,510300.SH,20181231,600297.SH,34822904.2,8577070.0,0.1
238,510300.SH,20181231,600688.SH,34814945.57,6976943.0,0.1
239,510300.SH,20181231,600004.SH,34695615.0,3452300.0,0.1
240,510300.SH,20181231,600809.SH,34615380.0,987600.0,0.1
241,510300.SH,20181231,000792.SZ,34260178.3,4908335.0,0.1
242,510300.SH,20181231,600816.SH,34136770.66,7811618.0,0.1
243,510300.SH,20181231,600415.SH,33960115.08,9730692.0,0.1
244,510300.SH,20181231,000898.SZ,33826886.55,6593935.0,0.1
245,510300.SH,20181231,603833.SH,33629323.96,421843.0,0.1
246,510300.SH,20181231,002310.SZ,33391296.0,4797600.0,0.1
247,510300.SH,20181231,600346.SH,33372775.0,2518700.0,0.1
248,510300.SH,20181231,601021.SH,32979621.89,1036769.0,0.1
249,510300.SH,20181231,000839.SZ,32886684.2,9758660.0,0.1
250,510300.SH,20181231,000540.SZ,32341265.79,6640917.0,0.1
251,510300.SH,20181231,000983.SZ,32047858.53,5837497.0,0.1
252,510300.SH,20181231,601881.SH,32000122.0,4692100.0,0.1
253,510300.SH,20181231,601216.SH,31598117.0,12060350.0,0.1
254,510300.SH,20181231,300033.SZ,31541740.0,825700.0,0.09
255,510300.SH,20181231,002508.SZ,31465489.11,1558469.0,0.09
256,510300.SH,20181231,002602.SZ,31168160.1,1509354.0,0.09
257,510300.SH,20181231,601238.SH,30701655.6,2983640.0,0.09
258,510300.SH,20181231,601878.SH,30638652.0,4220200.0,0.09
259,510300.SH,20181231,002153.SZ,30590381.36,1178366.0,0.09
260,510300.SH,20181231,000671.SZ,30580149.51,5892129.0,0.09
261,510300.SH,20181231,601898.SH,30342189.3,6525202.0,0.09
262,510300.SH,20181231,600485.SH,30254830.71,2073669.0,0.09
263,510300.SH,20181231,600188.SH,29750784.16,3388472.0,0.09
264,510300.SH,20181231,002032.SZ,29309700.0,558280.0,0.09
265,510300.SH,20181231,000402.SZ,29250402.72,4541988.0,0.09
266,510300.SH,20181231,600909.SH,28944456.0,6132300.0,0.09
267,510300.SH,20181231,000627.SZ,28736725.71,5122411.0,0.09
268,510300.SH,20181231,002294.SZ,28668495.95,1372355.0,0.09
269,510300.SH,20181231,603986.SH,28385513.6,455480.0,0.09
270,510300.SH,20181231,002601.SZ,28154700.0,2289000.0,0.08
271,510300.SH,20181231,600704.SH,27919217.42,6095899.0,0.08
272,510300.SH,20181231,601991.SH,27712342.35,8797569.0,0.08
273,510300.SH,20181231,600061.SH,27110172.08,3015592.0,0.08
274,510300.SH,20181231,601360.SH,26413779.0,1296700.0,0.08
275,510300.SH,20181231,600998.SH,26364680.0,1805800.0,0.08
276,510300.SH,20181231,601228.SH,26347068.0,6653300.0,0.08
277,510300.SH,20181231,600372.SH,26151857.38,2014781.0,0.08
