,ts_code,end_date,bz_item,bz_sales,bz_profit,bz_cost,curr_type
228,000027.SZ,20180630,电力,6912591955.03,1389139150.34,5523452804.69,CNY
229,000027.SZ,20180630,蒸汽,36514573.08,28182721.11,8331851.97,CNY
230,000027.SZ,20180630,燃气,474884691.01,103290344.73,371594346.28,CNY
231,000027.SZ,20180630,运输业务,8312457.32,1070611.98,7241845.34,CNY
232,000027.SZ,20180630,其他主营业务,339440834.91,118096452.75,221344382.16,CNY
233,000027.SZ,20181231,电力,14264085884.02,2062395082.15,12201690801.87,CNY
234,000027.SZ,20181231,燃气,1260218149.01,,,CNY
235,000027.SZ,20181231,蒸汽,89954101.31,,,CNY
236,000027.SZ,20181231,运输业务,20562844.68,,,CNY
237,000027.SZ,20181231,其他主营业务,2892574562.98,,,CNY
238,000027.SZ,20181231,燃气,1260218149.01,282527117.18,977691031.83,CNY
239,000027.SZ,20181231,蒸汽,89954101.31,63746172.48,26207928.83,CNY
240,000027.SZ,20181231,运输业务,20562844.68,551065.24,20011779.44,CNY
241,000027.SZ,20181231,其他主营业务,2892574562.98,2524286309.2,368288253.78,CNY
242,000039.SZ,20151231,物流服务,7632238000.0,695400000.0,6936838000.0,CNY
243,000039.SZ,20151231,其他业务,1426170000.0,746826000.0,679344000.0,CNY
244,000039.SZ,20151231,海洋工程业务,1588357000.0,317554000.0,1270803000.0,CNY
245,000039.SZ,20151231,其他,823380000.0,130340000.0,693040000.0,CNY
246,000039.SZ,20151231,道路运输车辆,12352550000.0,2343816000.0,10008734000.0,CNY
247,000039.SZ,20151231,重卡,734798000.0,-130748000.0,865546000.0,CNY
248,000039.SZ,20151231,能源化工设备业务,8618953000.0,1693062000.0,6925891000.0,CNY
249,000039.SZ,20151231,空港设备业务,2675952000.0,504105000.0,2171847000.0,CNY
250,000039.SZ,20151231,集装箱业务,20118765000.0,2851181000.0,17267584000.0,CNY
251,000039.SZ,20151231,金融,1678647000.0,1060175000.0,618472000.0,CNY
252,000039.SZ,20151231,房地产,1035994000.0,392850000.0,643144000.0,CNY
253,000039.SZ,20160630,道路运输车辆,6807849000.0,1221050000.0,5586799000.0,CNY
254,000039.SZ,20160630,其他业务,714631000.0,384004000.0,330627000.0,CNY
255,000039.SZ,20160630,集装箱业务,4403976000.0,375825000.0,4028151000.0,CNY
256,000039.SZ,20160630,重卡,790779000.0,19678000.0,771101000.0,CNY
257,000039.SZ,20160630,房地产,203751000.0,103482000.0,100269000.0,CNY
258,000039.SZ,20160630,能源化工设备业务,4180940000.0,808889000.0,3372051000.0,CNY
259,000039.SZ,20160630,物流服务,3149543000.0,386067000.0,2763476000.0,CNY
260,000039.SZ,20160630,其他,130654000.0,32122000.0,98532000.0,CNY
261,000039.SZ,20160630,海洋工程业务,950752000.0,128288000.0,822464000.0,CNY
262,000039.SZ,20160630,金融,1113604000.0,747268000.0,366336000.0,CNY
263,000039.SZ,20160630,空港设备业务,1096364000.0,209674000.0,886690000.0,CNY
264,000039.SZ,20161231,其他业务,1151636000.0,688628000.0,463008000.0,CNY
265,000039.SZ,20161231,集装箱业务,10485758000.0,993362000.0,9492396000.0,CNY
266,000039.SZ,20161231,道路运输车辆,14261874000.0,2594393000.0,11667481000.0,CNY
267,000039.SZ,20161231,能源化工设备业务,8808022000.0,1629557000.0,7178465000.0,CNY
268,000039.SZ,20161231,海洋工程业务,268471000.0,309196000.0,-40725000.0,CNY
269,000039.SZ,20161231,空港设备业务,3072806000.0,576429000.0,2496377000.0,CNY
270,000039.SZ,20161231,物流服务,6980141000.0,734407000.0,6245734000.0,CNY
271,000039.SZ,20161231,金融,2234692000.0,1566975000.0,667717000.0,CNY
272,000039.SZ,20161231,房地产,816019000.0,398585000.0,417434000.0,CNY
273,000039.SZ,20161231,重卡,1625677000.0,24384000.0,1601293000.0,CNY
274,000039.SZ,20161231,其他,1406556000.0,113719000.0,1292837000.0,CNY
275,000039.SZ,20170630,其他业务,730224000.0,400277000.0,329947000.0,CNY
276,000039.SZ,20170630,集装箱业务,9596787000.0,1652616000.0,7944171000.0,CNY
277,000039.SZ,20170630,道路运输车辆,9456259000.0,1642443000.0,7813816000.0,CNY
278,000039.SZ,20170630,能源化工设备业务,4825819000.0,804380000.0,4021439000.0,CNY
279,000039.SZ,20170630,海洋工程业务,500245000.0,38432000.0,461813000.0,CNY
280,000039.SZ,20170630,空港设备业务,1147629000.0,215161000.0,932468000.0,CNY
281,000039.SZ,20170630,物流服务,3725556000.0,482627000.0,3242929000.0,CNY
282,000039.SZ,20170630,金融,1145113000.0,646410000.0,498703000.0,CNY
283,000039.SZ,20170630,房地产,268322000.0,107637000.0,160685000.0,CNY
284,000039.SZ,20170630,重卡,1238678000.0,72282000.0,1166396000.0,CNY
285,000039.SZ,20170630,其他主营业务,752520000.0,83323000.0,669197000.0,CNY
286,000039.SZ,20171231,其他主营业务,1831037000.0,552403000.0,1278634000.0,CNY
287,000039.SZ,20171231,房地产,927194000.0,360926000.0,566268000.0,CNY
288,000039.SZ,20171231,海洋工程业务,1172509000.0,193175000.0,979334000.0,CNY
289,000039.SZ,20171231,金融,2257689000.0,1663010000.0,594679000.0,CNY
290,000039.SZ,20171231,重卡,2481839000.0,117681000.0,2364158000.0,CNY
291,000039.SZ,20171231,空港设备业务,3493022000.0,703172000.0,2789850000.0,CNY
292,000039.SZ,20171231,物流服务,8122208000.0,780622000.0,7341586000.0,CNY
